tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
8068.01,71.46668133506579,71.54893065,71.42001198,75.47393365,78.45459673,78.13765182
8068.02,58.808591802772135,58.11447811,69.48264571,65.53365058,70.68473609,74.69325153
8069.0,82.36127746504552,83.19201995,80.83861531,76.75568744,78.77149877,74.48928749
8070.0,61.38460433741288,61.087719299999996,62.57449344,66.85934489,71.3281539,69.37970599
8071.0,74.52328536872056,75.03015682,74.91145218,71.70886076,73.00123001,71.48784825
8072.0,71.96559638404221,72.48322148,69.83511154,70.75777202,70.16414548,68.17018554
8073.0,70.68483508744156,70.89800443,71.88953488,69.84809401,73.74350087,72.01374964
8074.0,76.9243853490879,77.42463958,76.58730159,79.50874832,76.48995719,78.22936358
8075.0,69.04108798829142,69.0744921,73.50620068,72.06208426,72.80898876,67.1624714
8076.0,73.79021361310735,73.91729078,75.59458471,79.49680811,79.28885629999999,81.29442574
8077.0,71.36209239886593,71.56752712,72.81690141,75.20242915,73.9486814,70.90178897
8078.0,76.07667301774879,76.55538695,76.82437851,78.7037037,74.91883117,71.98105762
8079.0,77.9433958873383,78.93691008,71.76063304,71.37076378,70.97249509,69.31464174
8080.01,72.86898457074767,73.07439105,76.21758381,72.18586387,75.8407687,78.58672377
8080.02,75.00520886663021,75.65941694,75.26724976,68.38649156,70.66480707,69.84585742
8081.0,76.15033822590486,76.58574785,77.05792683,75.6097561,76.68122271,72.18487395
8082.0,74.85994981933973,75.30165913,78.56287425,74.51305429,72.39316239,77.22634508
8083.01,72.70805702589143,73.09697602,70.58201058,74.56497593,74.18323864,71.41280353
8083.02,76.52583248080438,76.99827487,78.83211679,79.20847269,74.65865647,76.48054146
8084.0,75.37512938414521,75.87529976,76.26418989,75.81837381,73.54698533,74.45292621
8085.0,84.82688684037362,85.87824351,82.7167019,80.57589068,76.98564593,76.96764848
8086.0,66.71396283415713,66.78281069,67.67676768,70.66492829,70.52505967,77.72215269
8087.02,12.139303510599516,11.41504471,8.562992126000001,9.005186233,9.444708116000001,10.35434883
8088.0,47.9546191409404,47.65446224,50.68027211,48.13614263,49.94047619,48.95774648
8089.0,53.87966941072472,53.66327026,56.72727273,59.05834186,56.09254499,62.74314214
8090.0,60.367996314402944,60.66115702,61.39705882,56.37769188,55.92469546,55.62666667
8091.0,55.50836890600806,55.85305106,54.26098535,53.54330709,48.08168317,47.18349136
8092.0,63.3535042243525,63.60035211,65.64056134,68.43807763,59.25605536,60.597302500000005
8093.0,29.04951457247663,28.4457478,30.679837300000003,28.57938719,28.85869565,32.83935981
8094.0,28.98932408851128,28.01864802,30.93457944,30.40478381,37.94642857,39.45249597
8095.0,34.26630421840739,33.86015326,33.21428571,36.73147662,33.2818135,34.31818182
8096.0,53.31860102458744,53.44827586,47.72581678,50.68049255,53.60755226,64.74318326
8097.0,62.09915628032396,62.30847804,61.82201159,62.08178439,61.09947644,59.51770139
8098.0,43.34130205272894,42.99065421,47.32765298,45.35558781,42.67605634,42.09019327
8099.0,46.06863079175692,45.67763525,45.93088071,47.67378216,51.164111299999995,53.435114500000005
8100.0,43.335200590553924,43.009226399999996,39.50083195,44.41330998,47.86616593,50.0
8101.0,43.34398226333575,42.62114537,46.03788172,51.25404531,52.40209931,50.55169595
8102.0,53.462357915492156,53.14895035,55.61724363,55.70606163,59.0784044,58.85967907
8103.01,65.34741001371466,65.42155816,66.18962433,70.04830918,68.15252417,64.30354468
8103.02,59.25440688346173,58.94448252,61.25,64.59510358,67.72585670000001,72.64687303
8104.0,67.31105234514138,67.32943470000001,69.34131737,72.78177458,71.75324675,76.12484799
8105.01,80.89148980822105,81.66200559,80.17492711,79.30579965,76.68016194,74.26999577
8105.02,72.212474018958,72.56246938,73.52800383,72.12276215,72.30632235,70.77625571
8106.0,72.53387038940937,72.5297253,75.32981529999999,75.07042254,80.67307692,81.32377740000001
8107.01,81.33180292309821,82.31972198,80.14638609,75.74485942,72.69763651,63.97869913
8107.02,73.30764011886785,73.78490176,72.45850622,74.48024948,71.98852772,75.02527806
8108.0,79.11969298648167,79.57799548,78.62332696,79.12517781,81.71191554,78.24523553
8109.0,74.79805916207991,75.23470379,75.80209895,71.8503937,74.88775816,77.0609319
8110.0,71.69761347105701,71.79746835,73.62869198,74.27745665,77.19123506,73.21063395
8111.0,71.43636770338824,71.83544304,71.96060326,68.01134573,70.97791798,74.34276206
8112.0,82.76356051618657,83.45697329,83.24761205,81.84143223,80.71479122,80.53837759
8113.01,70.56548470103886,70.70410729,73.16191241,72.39583333,74.01737691,79.06786590000002
8113.02,83.35007521626913,84.1994382,80.46979866,81.50208623,80.1139962,80.48780488
8114.01,79.39062830137205,79.83063895,80.77830189,80.38314176,81.07333059999999,82.18313036
8114.02,85.15167158555826,85.86497890000001,84.34818145,89.46695096,83.91577061,84.36213992
8115.0,78.22090786540132,78.89064976,80.07712082,77.35144312,73.10896368,74.99153976
8116.0,75.35515088066991,75.6445993,75.29691211,79.09711684,79.18337587,78.12269032
8117.01,75.60485348271006,76.2605042,71.38535995,75.49839228,73.58490566,77.08333333
8117.02,75.72282810602988,76.01319509999999,77.83761392,83.0641985,77.47609943,78.78787879
8118.0,81.88077676880788,82.39845261,82.45476003,81.61262799,83.80035026,84.30609598
8119.0,54.90587136827376,54.890865000000005,53.11760063,54.46855462,56.80385614,60.59803179
8120.0,58.4285741208159,58.53658537,55.91353997,55.51453623,60.13636364,57.98212005
8121.0,57.72445909049422,57.75492716,57.06371191,57.78723404,59.16412712,60.57166877
8122.0,60.89561177185465,61.0073571,58.40312674,65.05434783,62.59029928,60.734037199999996
8123.01,58.4628280610484,58.38725734,61.44871172,59.46086055,60.33732318,56.84210526
