tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
8176.0,47559.75785315928,48264,41011,41801,41642,42067
8177.0,53284.97242382209,52769,54119,53269,56603,53281
8179.0,53219.11130476721,52687,51327,50000,47150,50397
8180.0,58489.25447466496,57333,59180,56250,53163,48071
8181.0,67340.747572568,67273,65074,63092,68167,72230
8182.0,67418.60963224983,67474,65640,68456,75580,77593
8183.0,51377.58359423074,50432,52841,53125,52257,54923
8184.01,64302.47109001818,63198,63194,69861,63750,67625
8184.02,61532.38975263147,60972,60000,59688,59104,60208
8185.0,75440.71282573722,76068,68932,68679,74207,67717
8186.0,70032.5720440011,70438,63750,57930,60687,59977
8187.0,81574.19733409367,79412,84833,84046,79911,74737
8188.0,67141.50553751002,65545,70862,68083,68500,69877
8189.0,62319.009645397826,61860,58854,59875,56250,54250
8190.0,113932.8067986608,112264,111506,112500,108818,111930
8191.0,45357.934395861856,43840,52656,48713,53087,48815
8192.0,47442.41138366749,46406,51371,53548,55969,56600
8193.0,78777.0875168792,77800,78043,74896,75435,79875
8194.0,78164.75161129136,77061,77128,67063,66017,65071
8195.0,66656.79373668956,66339,62237,57632,55125,52206
8196.0,131028.5716966428,129875,124653,128750,125982,123304
8197.0,157646.9231503657,155000,150785,149509,134803,133971
8198.01,149470.61118637584,147438,147543,147321,148750,141585
8198.02,128012.04765972258,125795,129632,120972,124028,129063
8199.0,151046.32516470185,148594,148000,148018,142386,147188
8200.0,178272.11596732785,175833,178194,185568,192143,224750
8201.01,83992.01686420968,84271,76483,76298,77482,77857
8201.03,57940.78988032661,58073,56211,56813,63000,64846
8201.04,57379.26176572122,56507,59671,58050,61446,63333
8202.01,84584.24933426503,83934,83662,81624,86799,84486
8202.02,52098.789499006365,51131,52054,53678,49242,53148
8203.0,40509.890569897565,38438,50363,47868,50133,49032
8204.0,45408.50810604861,44773,46386,47917,48115,45075
8205.01,62248.457319178786,62024,57278,61923,57332,65988
8205.02,55207.3648936601,54851,53562,54458,54443,53526
8206.03,51876.83368455589,50368,56250,57171,56179,59688
8206.04,32190.074169376778,30540,37054,44375,37639,46250
8206.05,43003.2388980604,42202,44307,40948,39874,36723
8206.06,63759.200833649986,63101,62623,59219,59192,58766
8207.0,52148.427722610664,51491,50150,48611,43832,47677
8208.0,66453.20057741401,65188,69250,66667,68750,65074
8209.01,44697.03033296279,43815,46602,47995,47203,44833
8209.02,51262.01763088499,50527,52596,53313,54558,53378
8210.01,61911.43819731689,61033,61832,60000,59141,61944
8210.02,56176.141375713574,55379,57019,58623,59089,63990
8211.01,68547.70252593528,66078,74176,69583,64484,63464
8211.02,58193.26842896351,58542,51827,48398,47344,50195
8212.0,32578.92675723805,31753,36890,34583,37371,40051
8213.0,37019.955338095926,36434,38429,43648,43079,43401
8214.01,40530.011341329584,40165,39239,41509,38669,39306
8214.02,51075.950070667,50572,51548,51525,53608,54682
8215.0,39551.20675224259,40278,34511,31494,33490,32368
