tract,percent_vacant_2016,percent_vacant_2015,percent_vacant_2014,percent_vacant_2013,percent_vacant_2012,percent_vacant_2011
307.01,3.9942472903607307,3.4,3.7,2.1,0.0,0.0
307.02,14.667701650999733,15.1,15.2,11.9,12.8,13.0
307.03,13.017108134358846,12.9,10.8,12.2,8.8,9.8
307.06,9.053526474250969,8.9,8.0,13.2,9.5,10.8
308.0,12.250670756356312,12.3,8.3,12.9,10.5,6.6
309.0,5.375513317295917,5.7,2.9,5.7,9.0,12.6
310.0,10.699820629198046,11.2,12.2,17.8,17.2,15.3
311.0,4.086177752552153,4.5,8.8,10.5,12.9,10.0
312.0,15.751732074246986,16.1,17.3,16.8,15.0,15.4
313.0,3.2503521315949264,3.4,4.0,5.1,7.6,9.3
314.0,9.847241533918304,9.5,8.4,5.9,3.6,3.1
315.01,13.566709495627014,14.3,16.9,18.8,19.4,18.9
315.02,10.059458882839065,9.7,7.7,8.0,4.7,2.7
317.0,10.684442149519883,10.5,11.9,10.5,7.6,7.5
318.0,4.976955878135035,4.8,5.8,5.2,5.0,3.4
319.0,4.951830510711464,4.6,2.7,3.6,2.6,3.3
321.0,10.9982661508338,11.1,8.3,6.9,7.5,7.1
