tract,percent_wealthy_2016,percent_wealthy_2015,percent_wealthy_2014,percent_wealthy_2013,percent_wealthy_2012,percent_wealthy_2011
4909.01,,0.103,0.092,0.087,0.086,0.055
4909.02,,0.111,0.070,0.091,0.102,0.117
4910,,0.049,0.036,0.035,0.035,0.043
4911,,0.151,0.160,0.114,0.049,0.065
4912,,0.112,0.136,0.138,0.182,0.109
4913,,0.067,0.110,0.124,0.092,0.072
4914,,0.086,0.044,0.041,0.045,0.048
5001,,0.096,0.105,0.061,0.070,0.031
5002,,0.093,0.078,0.019,0.030,0.045
5003,,0.069,0.074,0.079,0.083,0.093
5101,,0.120,0.125,0.066,0.082,0.116
5102,,0.081,0.109,0.100,0.090,0.112
5103,,0.088,0.069,0.055,0.063,0.090
5201,,0.088,0.068,0.099,0.064,0.147
5202,,0.043,0.051,0.084,0.077,0.092
5203,,0.103,0.132,0.118,0.110,0.129
5204,,0.124,0.141,0.147,0.161,0.129
5205,,0.226,0.234,0.152,0.183,0.157
5206,,0.077,0.145,0.162,0.184,0.171
5301,,0.026,0.020,0.054,0.050,0.055
5302,,0.058,0.044,0.026,0.044,0.042
5303,,0.113,0.089,0.117,0.075,0.062
5304,,0.148,0.154,0.147,0.150,0.174
5305.01,,0.063,0.072,0.070,0.098,0.075
5305.02,,0.051,0.083,0.069,0.064,0.088
5305.03,,0.102,0.078,0.098,0.172,0.149
5306,,0.098,0.101,0.110,0.098,0.064
5401.01,,0.000,0.000,0.000,0.000,0.000
5401.02,,0.014,0.013,0.000,0.000,0.000
5501,,0.204,0.180,0.186,0.176,0.163
5502,,0.229,0.192,0.120,0.091,0.126
5601,,0.104,0.084,0.055,0.116,0.102
5602,,0.171,0.182,0.213,0.211,0.162
5603,,0.147,0.154,0.183,0.196,0.172
5604,,0.097,0.136,0.230,0.340,0.354
5607,,0.173,0.162,0.157,0.105,0.144
5608,,0.253,0.263,0.237,0.197,0.196
5609,,0.257,0.275,0.237,0.261,0.271
5610,,0.343,0.312,0.246,0.246,0.210
5611,,0.317,0.320,0.284,0.296,0.261
5701,,0.136,0.146,0.111,0.056,0.077
5702,,0.187,0.131,0.193,0.107,0.152
5703,,0.126,0.144,0.140,0.112,0.088
5704,,0.101,0.092,0.094,0.088,0.072
5705,,0.139,0.148,0.137,0.127,0.139
5801,,0.080,0.093,0.111,0.166,0.220
5802,,0.089,0.083,0.038,0.078,0.099
5803,,0.062,0.032,0.030,0.025,0.049
5804,,0.033,0.030,0.096,0.112,0.117
5805.01,,0.086,0.067,0.068,0.064,0.049
5805.02,,0.111,0.140,0.136,0.123,0.113
5806,,0.056,0.039,0.040,0.043,0.041
5807,,0.048,0.056,0.039,0.022,0.051
5808,,0.017,0.016,0.021,0.047,0.047
5905,,0.179,0.187,0.209,0.164,0.184
5906,,0.065,0.056,0.065,0.086,0.112
5907,,0.096,0.101,0.095,0.080,0.093
