tract,median_income_2016,median_income_2015,median_income_2014,median_income_2013,median_income_2012,median_income_2011
7709.02,,55879,54804,52147,47792,52417
8001,,225391,250000,201000,227778,226375
8002,,171214,159167,154976,170938,166875
8003,,201146,157679,192578,152143,131339
8004,,212344,218542,214028,222356,241513
8005,,211286,211467,215726,206875,211750
8006,,227708,192083,231875,236250,241250
8007,,166731,166875,172656,200208,219250
8008,,78750,85375,100048,115213,93136
8009,,102303,111094,91757,93850,96080
8010,,108456,99919,108207,101702,104969
8011,,148640,134934,150985,135556,133281
8012,,160221,176406,174479,174088,171000
8013,,144531,124792,108854,108750,106765
8014,,100742,106438,113224,111125,120938
8015,,107273,101639,88913,75724,74865
8016.01,,105064,104911,96250,102067,117188
8016.03,,45982,50938,50915,57647,59167
8016.05,,107778,111392,108352,95278,97316
8016.06,,115000,113929,104875,105405,102273
8016.07,,78969,82324,89500,87153,79231
