WARD,PRECINCT,LOCATION,ADD_NUM,STREET_DIR,STREET_NAME_1,STREET_NAME_2,STREET_NAME_3,STREET_NAME_4,STREET_TYPE
9,22,Cullen School,10650,S,Eberhart,,,,Ave
9,23,Tuley Park,501,E,90th,,,,Pl
9,24,Wesley United Methodist Church,212,E,95th,,,,St
9,25,Tuley Park,501,E,90th,,,,Pl
9,26,Dubois School,330,E,133rd,,,,St
9,27,Loving Spirit M B Church,424,W,103rd,,,,St
9,28,St Anthony Chapel,214,E,Kensington,,,,Ave
9,29,Victory Centre/Roseland,10450,S,Michigan,,,,Ave
9,30,Bennett School,10115,S,Prairie,,,,Ave
9,31,New Pasadena M B Church,11300,S,Indiana,,,,Ave
9,32,Cullen School,10650,S,Eberhart,,,,Ave
9,33,Aldridge School,630,E,131st,,,,St
9,34,Neighborhood Housing Services,11001,S,Michigan,,,,Ave
9,35,Bennett School,10115,S,Prairie,,,,Ave
9,36,Tuley Park,501,E,90th,,,,Pl
9,37,Historic Pullman Foundation,11141,S,Cottage,Grove,,,Ave
9,38,True Vine/Holiness Ch,400,E,111th,,,,St
9,39,West Pullman Park,401,W,123rd,,,,St
9,40,Cullen School,10650,S,Eberhart,,,,Ave
9,41,Jesse Owens School,12450,S,State,,,,St
9,42,Harlan High School,9652,S,Michigan,,,,Ave
9,43,Palmer Park,201,E,111th,,,,St
9,44,Jesse Owens School,12450,S,State,,,,St
9,45,Jesse Owens Community Academy,12302,S,State,,,,St
9,46,New Day Ministries International,11300,S,Martin,Luther,King,Jr,Dr
9,47,Gillespie School,9301,S,State,,,,St
9,48,Tuley Park,501,E,90th,,,,Pl
9,49,McDade School,8801,S,Indiana,,,,Ave
9,50,Gillespie School,9301,S,State,,,,St
9,51,Wesley United Methodist Church,212,E,95th,,,,St
10,1,Villla Guadalupe Senior Services,3201,E,91st,,,,St
10,2,St Columba Catholic Church,13323,S,Green,,,,Bay
10,3,South East Sportsmen Club,13139,S,Avenue,,,,M
10,4,Sullivan Elementary School,8331,S,Mackinaw,,,,Ave
10,5,Clay School,13231,S,Burley,,,,Ave
10,6,Sacred Heart School,2926,E,96th,,,,St
10,7,Marsh Elementary,9822,S,Exchange,,,,Ave
10,8,Thorp School,8914,S,Buffalo,,,,Ave
10,9,Grissom School,12810,S,Escanaba,,,,Ave
10,10,Trinity Council Knights Of Columbus,11207,S,Ewing,,,,Ave
10,11,Addams School,10810,S,Avenue,,,,H
10,12,Trinity Council Knights Of Columbus,11207,S,Ewing,,,,Ave
10,13,Orville Bright School,10740,S,Calhoun,,,,Ave
10,14,Rowan Park,11546,S,Avenue,,,,L
10,15,Bradley Park,9729,S,Yates,,,,Bv
10,16,St Columba Catholic Church,13323,S,Green,,,,Bay
10,17,Mann Park,2949,E,131st,,,,St
10,18,Arnold Mireles Academy,9000,S,Exchange,,,,Ave
10,19,St Simeon Church,3737,E,114th,,,,St
10,20,East Side Vodak Library,3710,E,106th,,,,St
10,21,Vets Memorial Park,2820,E,98th,,,,St
10,22,Calumet Park,9801,S,Avenue,,,,G
10,23,Trinity Council Knights Of Columbus,11207,S,Ewing,,,,Ave
10,24,Grissom School,12810,S,Escanaba,,,,Ave
10,25,Sacred Heart School,2926,E,96th,,,,St
10,26,Calumet Park,9801,S,Avenue,,,,G
10,27,Ninos Heroes Elementary,8344,S,Commercial,,,,Ave
10,28,Addams School,10810,S,Avenue,,,,H
10,29,Mathew Gallistell Language Acdmy,10347,S,Ewing,,,,Ave
10,30,Mathew Gallistell Language Acdmy,10347,S,Ewing,,,,Ave
10,31,Mathew Gallistell Language Acdmy,10347,S,Ewing,,,,Ave
10,32,Addams School,10810,S,Avenue,,,,H
10,33,Wolfe Park,3325,E,108th,,,,St
10,34,Arnold Mireles Academy,9000,S,Exchange,,,,Ave
10,35,St Simeon Church,3737,E,114th,,,,St
10,36,South Chicago Learning Center,3055,E,92nd,,,,St
11,1,Chicago Fire Station,2528,S,Throop,,,,St
11,2,Providence Of God Church,717,W,18th,,,,St
11,3,Walsh Elementary School,2015,S,Peoria,,,,St
11,4,Mc Guane Park,2901,S,Poplar,,,,Ave
11,5,Chicago Police Station,3120,S,Halsted,,,,St
11,6,Chicago Fire Station,1360,S,Blue,Island,,,Ave
