tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
2408,, 14.464 , 19.218 , 20.336 , 19.240 , 16.183 
2409,, 11.481 , 11.246 , 8.621 , 13.811 , 11.830 
2410,, 6.613 , 6.729 , 4.611 , 6.307 , 5.546 
2411,, 4.530 , 12.553 , 6.700 , 8.013 , 8.331 
2412,, 11.979 , 11.066 , 12.245 , 12.531 , 8.369 
2413,, 3.708 , 2.982 , 1.793 , 3.996 , 3.596 
2414,, 5.258 , 5.479 , 3.145 , 2.793 , 1.845 
2415,, 6.754 , 7.046 , 3.096 , 2.548 , 3.218 
2416,, 10.033 , 5.730 , 4.239 , 9.845 , 10.458 
2420,, 5.691 , 6.373 , 4.426 , 5.171 , 7.442 
2421,, 5.586 , 5.044 , 3.069 , 7.079 , 4.032 
2422,, 4.890 , 4.258 , 4.843 , 5.991 , 5.218 
2423,, 2.668 , 4.829 , 5.049 , 3.559 , 8.083 
2424,, 20.534 , 22.386 , 22.001 , 19.046 , 16.447 
2425,, 17.282 , 18.712 , 15.558 , 19.209 , 19.763 
2426,, 8.460 , 4.517 , 5.267 , 4.992 , 6.304 
2427,, 8.437 , 5.388 , 5.130 , 3.643 , 4.071 
2428,, 12.353 , 10.693 , 9.890 , 5.597 , 8.348 
2429,, 4.891 , 11.056 , 10.067 , 12.265 , 14.430 
2430,, 9.223 , 15.972 , 11.779 , 12.115 , 10.540 
2431,, 11.997 , 18.736 , 22.092 , 22.838 , 23.883 
2432,, 18.020 , 16.986 , 19.028 , 19.565 , 30.703 
2433,, 9.602 , 8.287 , 9.607 , 8.887 , 6.599 
2434,, 9.592 , 13.367 , 12.107 , 17.497 , 15.382 
2435,, 7.533 , 6.379 , 3.883 , 3.313 , 3.657 
2502,, 8.252 , 7.716 , 7.015 , 7.986 , 5.808 
2503,, 7.465 , 5.634 , 4.002 , 7.303 , 12.011 
2504,, 6.356 , 6.674 , 5.859 , 5.170 , 4.503 
2505,, 5.091 , 5.063 , 5.465 , 7.905 , 7.801 
2506,,0.00 ,0.00 , 0.327 , 0.705 , 0.681 
2507,, 1.756 , 1.806 , 1.186 , 0.970 , 0.209 
2508,, 6.175 , 4.020 , 2.799 , 2.333 , 1.542 
2510,, 0.982 , 1.713 , 1.074 , 1.636 , 1.771 
2511,, 0.801 , 1.266 , 1.502 , 0.811 , 0.881 
2512,, 2.723 , 0.617 , 1.537 ,0.00 , 0.697 
2513,, 3.257 , 0.697 , 0.405 , 0.042 , 0.470 
2514,, 1.221 , 0.690 , 0.785 , 1.442 , 0.635 
2515,,0.00 ,0.00 ,0.00 ,0.00 , 0.143 
2516,, 3.605 , 4.391 , 4.281 , 1.197 , 1.082 
2517,, 7.240 , 5.651 , 4.018 , 3.410 , 4.195 
2518,, 1.060 ,0.00 ,0.00 ,0.00 ,0.00 
2519,,0.00 , 0.317 , 0.334 , 0.247 , 0.637 
2520,, 0.303 , 1.052 , 1.239 , 1.021 , 1.472 
2521.01,, 2.433 , 1.175 , 2.804 , 2.245 , 1.237 
2521.02,, 2.517 , 2.599 , 1.987 ,0.00 ,0.00 
2522.01,,0.00 , 0.133 , 0.108 , 0.113 , 0.138 
2522.02,, 0.531 , 0.246 ,0.00 ,0.00 , 0.330 
2601,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2602,, 0.732 , 0.790 , 0.864 ,0.00 ,0.00 
2603,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2604,, 0.249 , 0.319 , 0.066 , 0.066 , 0.084 
2605,, 0.501 , 0.599 , 0.110 ,0.00 ,0.00 
2606,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2607,, 3.871 , 5.217 , 0.900 , 0.706 , 0.740 
2608,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2609,, 0.781 , 0.538 ,0.00 ,0.00 ,0.00 
2610,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2705,, 3.142 , 0.829 , 1.353 , 0.723 , 2.285 
2712,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2713,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2714,,0.00 , 0.087 , 0.073 , 0.077 , 0.645 
2715,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2718,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2801,, 6.196 , 5.242 , 7.312 , 8.540 , 7.924 
2804,, 1.057 , 1.025 , 1.585 , 2.211 , 1.792 
2808,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2809,, 1.239 , 1.392 , 2.177 , 0.866 , 0.945 
2819,, 38.993 , 37.282 , 27.764 , 22.080 , 21.173 
2827,, 9.221 , 6.828 , 5.866 , 5.389 , 7.364 
